Session,Day,Turnover,Player_Name,Drill,Duration,Relative_distance,Z4_relative_distance,Z5_relative_distance,Z6_relative_distance,Relative_HSD,Relative_sprint_distance,Relative_accelerations,Relative_decelerations,Max_speed
1,MD-4,6,Zoabi,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,476,58,40,1,8.88,47,1.06,0.42,25.72
1,MD-4,6,Zoabi,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,394,43,19,0,4.22,22,0.66,0.0,23.88
1,MD-4,6,Zoabi,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,371,59,1,0,0.37,0,1.33,2.0,20.18
1,MD-4,6,Zoabi,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,346,43,0,0,0.0,0,2.33,1.67,18.27
1,MD-4,6,Zoabi,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,330,31,2,0,0.56,0,1.33,1.67,20.5
1,MD-4,6,Zoabi,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,339,31,6,0,1.95,0,1.0,1.33,23.54
1,MD-4,6,Zoabi,Tactical 11vs11 (68*78m),4.7,453,63,4,0,0.76,0,1.5,1.07,22.71
1,MD-4,6,Zoabi,Tactical 11vs11 (68*78m),4.5,422,57,0,0,0.0,0,0.66,1.32,19.59
1,MD-4,6,Hamani,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,486,78,1,0,0.12,0,0.44,0.22,19.98
1,MD-4,6,Hamani,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,483,78,22,0,4.64,32,1.48,0.64,21.98
1,MD-4,6,Hamani,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,406,47,8,0,1.69,12,0.89,0.44,22.38
1,MD-4,6,Hamani,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,395,50,2,0,0.56,0,1.0,1.33,20.3
1,MD-4,6,Hamani,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,399,37,1,0,0.19,0,1.67,2.0,20.25
1,MD-4,6,Hamani,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,391,16,0,0,0.0,0,1.33,2.0,19.41
1,MD-4,6,Hamani,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,384,26,0,0,0.0,0,0.67,2.0,19.03
1,MD-4,6,Hamani,Tactical 11vs11 (68*78m),4.7,536,49,11,0,2.33,12,0.64,1.5,23.74
1,MD-4,6,Hamani,Tactical 11vs11 (68*78m),4.5,508,84,23,0,4.97,23,1.54,1.76,23.53
1,MD-4,6,Yehezkel,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,418,90,9,0,2.1,9,1.33,0.67,22.94
1,MD-4,6,Yehezkel,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,473,80,15,5,4.28,24,1.91,1.48,26.4
1,MD-4,6,Yehezkel,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,463,65,32,1,7.41,39,1.33,0.44,26.06
1,MD-4,6,Yehezkel,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,382,43,14,0,4.76,16,3.0,1.67,24.16
1,MD-4,6,Yehezkel,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,365,57,22,1,7.66,17,2.33,1.67,26.32
1,MD-4,6,Yehezkel,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,328,36,2,0,0.55,0,1.67,1.0,20.0
1,MD-4,6,Yehezkel,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,347,55,4,0,1.34,4,1.67,2.33,21.66
1,MD-4,6,Yehezkel,Tactical 11vs11 (68*78m),4.7,545,85,42,1,9.27,48,1.5,1.28,26.35
1,MD-4,6,Yehezkel,Tactical 11vs11 (68*78m),4.5,520,60,67,25,20.11,106,0.88,0.44,30.16
1,MD-4,6,Rahamim,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,526,163,1,0,0.25,0,1.55,0.44,20.23
1,MD-4,6,Rahamim,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,549,115,23,6,6.04,43,2.33,0.42,27.36
1,MD-4,6,Rahamim,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,524,103,34,0,7.53,41,1.99,1.11,24.89
1,MD-4,6,Rahamim,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,362,28,0,0,0.0,0,0.67,1.67,18.82
1,MD-4,6,Rahamim,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,383,28,0,0,0.0,0,2.67,2.0,19.54
1,MD-4,6,Rahamim,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,367,30,1,0,0.38,0,2.0,1.33,21.09
1,MD-4,6,Rahamim,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,368,38,0,0,0.0,0,1.33,2.33,18.66
1,MD-4,6,Rahamim,Tactical 11vs11 (68*78m),4.7,487,46,8,0,1.74,10,0.86,0.43,23.95
1,MD-4,6,Rahamim,Tactical 11vs11 (68*78m),4.5,513,79,47,4,11.16,53,1.76,2.42,26.38
2,MD-3,6,Glazer,Possession Game 9vs6,3.0,219,2,0,0,0.0,0,0.99,0.66,15.52
2,MD-3,6,Glazer,Possession Game 9vs6,3.0,450,120,29,0,9.7,26,1.99,4.31,23.05
2,MD-3,6,Glazer,Possession Game 9vs6,3.0,192,1,0,0,0.0,0,1.01,0.67,15.04
2,MD-3,6,Glazer,Possession Game 9vs6,3.0,416,89,8,0,2.77,7,2.0,3.66,23.09
2,MD-3,6,Glazer,Tactical 11vs11,4.3,450,82,10,0,2.29,12,1.16,0.7,22.63
2,MD-3,6,Glazer,Tactical 11vs11,4.0,427,91,9,0,2.18,11,1.24,1.0,22.39
2,MD-3,6,Glazer,Tactical 11vs11,3.8,391,61,12,0,3.15,15,1.31,0.79,24.09
2,MD-3,6,Glazer,Tactical 11vs11,4.0,370,42,8,0,2.02,8,0.25,0.5,21.34
2,MD-3,6,Glazer,Tactical 11vs11,4.1,567,110,69,30,23.95,115,1.21,1.45,29.76
2,MD-3,6,Agvadish,Possession Game 9vs6,3.0,286,12,0,0,0.0,0,1.34,0.67,17.4
2,MD-3,6,Agvadish,Possession Game 9vs6,3.0,459,125,14,0,4.68,17,2.67,4.33,21.46
2,MD-3,6,Agvadish,Possession Game 9vs6,3.0,371,42,3,0,1.15,0,2.36,2.02,21.1
2,MD-3,6,Agvadish,Possession Game 9vs6,3.0,344,62,20,0,6.64,28,3.33,2.33,23.4
2,MD-3,6,Agvadish,Tactical 11vs11,4.3,365,58,17,0,4.05,28,1.39,0.7,23.27
2,MD-3,6,Agvadish,Tactical 11vs11,4.0,468,101,31,0,7.69,35,1.49,1.49,23.67
2,MD-3,6,Agvadish,Tactical 11vs11,3.8,382,54,22,0,5.72,24,0.79,0.26,24.41
2,MD-3,6,Agvadish,Tactical 11vs11,4.0,441,64,24,10,8.55,35,1.51,0.5,26.6
2,MD-3,6,Agvadish,Tactical 11vs11,4.1,432,34,40,9,11.66,52,0.97,0.48,26.96
2,MD-3,6,Eshata,Possession Game 9vs6,3.0,289,8,0,0,0.0,0,1.64,0.33,19.55
2,MD-3,6,Eshata,Possession Game 9vs6,3.0,465,82,6,0,1.83,0,1.33,3.31,24.47
2,MD-3,6,Eshata,Possession Game 9vs6,3.0,391,69,2,0,0.58,0,2.7,3.04,21.23
2,MD-3,6,Eshata,Possession Game 9vs6,3.0,404,52,13,0,4.48,20,2.33,3.33,22.84
2,MD-3,6,Eshata,Tactical 11vs11,4.3,407,22,30,1,7.31,30,1.62,0.7,25.87
2,MD-3,6,Eshata,Tactical 11vs11,4.0,418,45,6,19,6.26,26,1.24,1.24,29.98
2,MD-3,6,Eshata,Tactical 11vs11,3.8,340,41,7,0,1.79,6,1.31,1.31,21.79
2,MD-3,6,Eshata,Tactical 11vs11,4.0,322,46,30,0,7.58,37,1.26,1.01,24.45
2,MD-3,6,Eshata,Tactical 11vs11,4.1,525,74,64,44,26.12,120,1.45,2.17,29.76
2,MD-3,6,Biton,Possession Game 9vs6,3.0,415,51,1,0,0.18,0,1.01,2.01,19.82
2,MD-3,6,Biton,Possession Game 9vs6,3.0,375,41,0,0,0.0,0,2.67,1.67,19.07
2,MD-3,6,Biton,Possession Game 9vs6,3.0,356,26,0,0,0.0,0,2.63,1.32,17.91
2,MD-3,6,Biton,Possession Game 9vs6,3.0,335,9,2,0,0.77,0,2.32,1.66,21.94
2,MD-3,6,Biton,Tactical 11vs11,4.3,443,84,3,0,0.65,0,0.46,0.23,20.49
2,MD-3,6,Biton,Tactical 11vs11,4.0,503,121,16,9,6.33,21,1.74,1.99,28.72
2,MD-3,6,Biton,Tactical 11vs11,3.8,472,81,34,1,9.2,54,1.58,1.31,25.47
2,MD-3,6,Biton,Tactical 11vs11,4.0,426,26,20,7,6.71,30,0.76,1.01,28.0
2,MD-3,6,Biton,Tactical 11vs11,4.1,402,41,0,0,0.0,0,0.72,0.24,19.14
2,MD-3,6,Beni,Possession Game 9vs6,3.0,351,20,2,0,0.57,0,2.69,1.68,20.99
2,MD-3,6,Beni,Possession Game 9vs6,3.0,438,73,11,0,3.73,11,1.67,2.67,23.1
2,MD-3,6,Beni,Possession Game 9vs6,3.0,383,36,0,0,0.0,0,0.34,1.69,19.39
2,MD-3,6,Beni,Possession Game 9vs6,3.0,385,58,2,0,0.55,0,1.0,2.0,20.03
2,MD-3,6,Beni,Tactical 11vs11,4.3,525,110,3,0,0.79,8,0.46,2.09,21.41
2,MD-3,6,Beni,Tactical 11vs11,4.0,527,92,25,0,6.33,26,1.49,1.99,25.06
2,MD-3,6,Beni,Tactical 11vs11,3.8,422,74,2,0,0.61,4,0.79,1.05,21.66
2,MD-3,6,Beni,Tactical 11vs11,4.0,511,129,49,0,12.46,65,1.26,1.51,23.68
2,MD-3,6,Beni,Tactical 11vs11,4.1,441,64,3,0,0.68,0,0.72,0.48,21.47
2,MD-3,6,Don,Possession Game 9vs6,3.0,386,38,0,0,0.0,0,2.35,2.35,17.4
2,MD-3,6,Don,Possession Game 9vs6,3.0,444,65,11,1,4.02,9,3.0,4.66,25.54
2,MD-3,6,Don,Possession Game 9vs6,3.0,351,40,0,0,0.0,0,2.7,4.39,18.89
2,MD-3,6,Don,Possession Game 9vs6,3.0,413,61,1,0,0.2,0,2.33,1.33,21.29
2,MD-3,6,Don,Tactical 11vs11,4.3,534,76,37,0,8.57,41,1.39,2.09,24.0
2,MD-3,6,Don,Tactical 11vs11,4.0,543,99,26,33,14.66,29,1.74,1.49,30.8
2,MD-3,6,Don,Tactical 11vs11,3.8,434,55,13,0,3.49,14,1.31,2.1,22.72
2,MD-3,6,Don,Tactical 11vs11,4.0,371,69,3,0,0.71,0,0.5,0.76,20.63
2,MD-3,6,Don,Tactical 11vs11,4.1,475,81,37,4,9.94,39,1.69,0.97,26.44
2,MD-3,6,Zada,Possession Game 9vs6,3.0,351,45,2,0,0.56,0,3.02,2.69,20.33
2,MD-3,6,Zada,Possession Game 9vs6,3.0,379,48,12,0,3.87,14,1.33,2.0,22.2
